Unnamed: 0,combined_pvalue,adjusted_pvalue,genes
2,28,5.55e-17,3.0053560136053704e-15,ISG15
7,47,0.0025576918067749,0.0491972356473232,ACAP3
14,58,0.0003133394718459,0.0067405166763802,ANKRD65
15,62,5.55e-17,3.0053560136053704e-15,VWA1
18,69,7.13554639505398e-05,0.0016509687030321,FNDC10
24,79,1.6826540161218899e-12,6.477243059934309e-11,GNB1
25,85,5.55e-17,3.0053560136053704e-15,GABRD
27,90,1.19470822312895e-06,3.23756846607847e-05,FAAP20
29,94,3.86126219311667e-05,0.0009162349114999,RER1
30,95,0.0009796239238399,0.0198204043120071,PEX10
31,96,1.12564538943261e-05,0.0002805688139158,PLCH2
33,122,4.21600310218651e-10,1.42734153086033e-08,TPRG1L
36,153,5.55e-17,3.0053560136053704e-15,KCNAB2
37,154,2.2204460492503099e-16,1.00733054830801e-14,CHD5
38,155,5.55e-17,3.0053560136053704e-15,RPL22
40,162,5.55e-17,3.0053560136053704e-15,ACOT7
41,167,2.98427442757543e-08,9.09302212082903e-07,TNFRSF25
42,168,2.18906246827189e-05,0.0005301208348665,PLEKHG5
47,179,1.93177019813806e-05,0.0004691113353983,CAMTA1
48,186,5.55e-17,3.0053560136053704e-15,VAMP3
50,191,0.0005878296520696,0.0122568459005819,PARK7
54,202,1.64078241027266e-06,4.38692904358609e-05,ENO1
56,220,5.55e-17,3.0053560136053704e-15,CLSTN1
59,227,5.55e-17,3.0053560136053704e-15,KIF1B
67,257,3.33531119389718e-08,1.0132377943457e-06,FBXO2
68,258,4.95496495389602e-07,1.38189103356619e-05,FBXO44
70,270,5.64742088648984e-08,1.67817679468375e-06,KIAA2013
71,271,0.0003172815396073,0.006818133363972,PLOD1
75,317,2.2682700373533e-07,6.45576905040421e-06,KAZN
76,327,5.55e-17,3.0053560136053704e-15,EFHD2
78,339,0.0022708385937413,0.044039227114452,PLEKHM2
79,347,0.0005679164162667,0.0118650553926438,SPEN
80,362,1.69717240261491e-10,5.89240959411678e-09,SZRD1
81,381,2.2204460492503099e-16,1.00733054830801e-14,ATP13A2
83,383,5.55e-17,3.0053560136053704e-15,PADI2
84,391,0.0019820467994915,0.0387700521044721,RCC2
85,397,1.59576239872061e-05,0.0003903008081604,IGSF21
90,411,1.5170966263911e-05,0.0003721004950682,AKR7A2
92,415,7.14368002530108e-08,2.10543577496249e-06,MINOS1
93,416,0.0001722323439364,0.0038315460380567,NBL1
94,440,5.55e-17,3.0053560136053704e-15,CAMK2N1
96,444,5.55e-17,3.0053560136053704e-15,PINK1
98,447,2.2708388502934403e-09,7.37803156179254e-08,KIF17
99,448,9.41607641091746e-06,0.0002366355515426,SH2D5
100,450,5.33333659649138e-05,0.0012510010362071,HP1BP3
101,451,0.0001228277196078,0.0027768532661261,EIF4G3
102,452,0.0003599252706663,0.0076859709826107,ECE1
103,459,4.24915962415895e-08,1.27317382737126e-06,RAP1GAP
104,460,2.58448823609037e-06,6.79918927727035e-05,USP48
105,466,1.4813794638191e-05,0.0003637771517301,CDC42
106,473,7.771561172376101e-16,3.49716152884304e-14,C1QB
108,480,4.49998601381729e-07,1.25901513228741e-05,LUZP1
109,484,0.0022941144856811,0.044448400669841,HNRNPR
110,492,5.55e-17,3.0053560136053704e-15,ID3
