,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
48,Rplp2,1.0,0.9950402975821452,1.0049844236760124,3.159729242324829,2.6902225017547607,1.5992052555084229,1.043263383872704e-06,26,[14]
37,Rpsa,1.0,0.9981401115933044,1.001863354037267,3.518575429916382,3.036311388015747,1.6197373867034912,2.529207803753507e-08,26,[14]
13,Rpl32,1.0,0.9947303161810293,1.0052976004985976,3.227222442626953,2.645534038543701,1.7890565395355225,1.6583362446484184e-15,26,[14]
72,Hsp90ab1,1.0,0.9826410415375078,1.017665615141956,2.687332391738892,2.2071754932403564,1.616327881813049,0.0001621144134771,26,[14]
41,Eef1a1,1.0,0.9916305021698698,1.008440137542982,3.140061855316162,2.566664695739746,1.7742843627929688,1.609516044273717e-07,26,[14]
42,Rps19,0.9987546699875468,0.9686918784872908,1.0310344209215443,2.622145175933838,2.066930055618286,1.742315649986267,1.628107835691701e-07,26,[14]
33,Rack1,0.9987546699875468,0.9876007439553628,1.0112939627683069,2.909655809402466,2.405345678329468,1.6558427810668943,5.651060917559848e-09,26,[14]
100,Rplp0,0.9987546699875468,0.9776813391196528,1.0215543961254996,2.7626073360443115,2.284597158432007,1.6128617525100708,0.0033679608805069,26,[14]
45,Rpl13a,0.9987546699875468,0.977061376317421,1.0222025905392849,2.5049970149993896,2.0001769065856934,1.6566873788833618,4.951343918214563e-07,26,[14]
141,Ptma,0.9987546699875468,0.9500929944203348,1.0512178027340378,2.4261367321014404,1.958021879196167,1.5969808101654053,0.0195189681850014,26,[14]
16,Rps18,0.9987546699875468,0.9637321760694358,1.0363404842006516,2.6607823371887207,2.027651309967041,1.8834986686706543,1.6161382709060255e-14,26,[14]
46,Rpl37a,0.9987546699875468,0.9702417854928704,1.0293874010798163,2.619885206222534,2.096604108810425,1.6875556707382202,8.263986639533307e-07,26,[14]
130,Rps9,0.9987546699875468,0.9745815251084936,1.024803614942693,2.5070786476135254,2.0939857959747314,1.5114854574203491,0.013372381233588,26,[14]
34,Rpl41,0.9975093399750934,0.9872907625542467,1.010350119547771,2.9086132049560547,2.352022886276245,1.744713306427002,1.2817726540777953e-08,26,[14]
49,Rps8,0.9975093399750934,0.9857408555486672,1.01193872036467,2.785682439804077,2.281477689743042,1.6556683778762815,1.1004625093391744e-06,26,[14]
24,Rps14,0.9975093399750934,0.9835709857408556,1.014171172631469,2.9867961406707764,2.3703501224517822,1.8523331880569456,2.337175000337612e-12,26,[14]
67,Rps10,0.9975093399750934,0.9801611903285804,1.0176992823401807,2.533344268798828,2.079451084136963,1.574429631233215,6.320104965476689e-05,26,[14]
103,Tlcd1,0.9975093399750934,0.9572225666460012,1.0420871537434104,2.49936842918396,2.006870746612549,1.6363983154296875,0.0036979923368257,26,[14]
99,Rps5,0.9975093399750934,0.9662120272783632,1.0323917647608762,2.508527994155884,2.0321297645568848,1.6102641820907593,0.0029563982054052,26,[14]
7,H19,0.9975093399750934,0.9807811531308122,1.0170559831730883,2.924680233001709,2.0679357051849365,2.3554799556732178,1.8422288422236538e-19,26,[14]
89,Rps26,0.9975093399750934,0.9758214507129572,1.0222252639007787,2.5909714698791504,2.1052489280700684,1.6253489255905151,0.0010578769304413,26,[14]
51,Rpl7,0.99626400996264,0.9361438313701178,1.0642210914369128,2.361915349960327,1.79940927028656,1.7550654411315918,1.7090634565300792e-06,26,[14]
102,Rps15a,0.99626400996264,0.9655920644761314,1.0317649104781628,2.5679705142974854,2.081117868423462,1.6271867752075195,0.0035435082912312,26,[14]
62,Rps27,0.99626400996264,0.9885306881587104,1.0078230467668476,2.987143993377685,2.493114233016968,1.6389073133468628,1.5758082293324814e-05,26,[14]
82,Wdr89,0.99626400996264,0.9665220086794792,1.0307721924757784,2.3642165660858154,1.9145073890686035,1.5678563117980957,0.0004010794841672,26,[14]
14,Zc3h7a,0.99626400996264,0.9854308741475512,1.0109932985654222,3.123454570770264,2.4558911323547363,1.9494816064834597,2.3402841313382764e-15,26,[14]
25,Rps3,0.9950186799501868,0.9578425294482332,1.0388123823687063,2.542396068572998,1.935570240020752,1.8345987796783447,9.567262717943939e-12,26,[14]
27,Cdk8,0.9950186799501868,0.9519528828270304,1.0452394208789653,2.4469516277313232,1.8712029457092283,1.778461456298828,1.3678880610860349e-10,26,[14]
97,Rpl8,0.9950186799501868,0.9519528828270304,1.0452394208789653,2.223369836807251,1.7768710851669312,1.562830686569214,0.0024582274022122,26,[14]
126,Naaladl2,0.9937733499377336,0.916615003099814,1.0841774862695732,1.956687808036804,1.5334702730178833,1.5268663167953491,0.0119098854186863,26,[14]
58,Rps13,0.9937733499377336,0.944513329200248,1.0521538650801208,2.485753297805786,1.9140700101852417,1.771246075630188,9.32628005775901e-06,26,[14]
29,Rpl3,0.9937733499377336,0.9290142591444512,1.0697073162826587,2.3604555130004883,1.7653262615203855,1.8132652044296265,4.788637779687259e-10,26,[14]
139,Rps28,0.9937733499377336,0.9522628642281464,1.0435914150062269,2.351983070373535,1.9095468521118164,1.5564944744110107,0.0183640012458171,26,[14]
146,Rps12,0.9925280199252802,0.9714817110973342,1.0216641328267242,2.500210762023926,2.079645156860352,1.5228224992752075,0.0233509450464213,26,[14]
54,Rpl9,0.9925280199252802,0.9404835709857408,1.0553379671321534,2.3289682865142822,1.7872947454452517,1.718881130218506,2.0982713005516988e-06,26,[14]
11,Lars2,0.9925280199252802,0.9287042777433354,1.0687234286645373,2.464751958847046,1.6957669258117676,2.1575753688812256,6.162792770554189e-16,26,[14]
17,Rpl11,0.9912826899128268,0.9454432734035958,1.048484576281567,2.5610945224761963,1.905858874320984,1.9255963563919067,4.3269697949586366e-14,26,[14]
96,Rps2,0.9912826899128268,0.9460632362058276,1.04779749595635,2.497189283370972,1.9691017866134644,1.6956862211227417,0.0020524878398343,26,[14]
22,Rps17,0.9912826899128268,0.9237445753254804,1.073113408610329,2.506141662597656,1.8059571981430051,2.014124155044556,1.1339433952584853e-12,26,[14]
55,Rpl14,0.9900373599003736,0.9091754494730316,1.0889398305620883,2.1713244915008545,1.6233094930648804,1.72981595993042,3.657027851826712e-06,26,[14]
117,Rpl30,0.9900373599003736,0.9528828270303782,1.038991712114055,2.3153693675994877,1.8704291582107544,1.5603969097137451,0.006822618959808,26,[14]
70,Rps27a,0.9887920298879204,0.9001859888406696,1.098430815571085,2.156825304031372,1.6074602603912354,1.732152819633484,0.0001207594277968,26,[14]
12,Gm26561,0.9887920298879204,0.8927464352138872,1.107584405700844,2.4772539138793945,1.681568622589111,2.215959072113037,7.617251622410282e-16,26,[14]
108,Rrm2b,0.987546699875467,0.8992560446373218,1.0981818868659967,2.017716407775879,1.5406394004821775,1.611357569694519,0.0044691324105064,26,[14]
161,Rpl39,0.987546699875467,0.9370737755734656,1.053862273833363,2.1654720306396484,1.739844560623169,1.5305503606796265,0.0322355679505587,26,[14]
112,Rps15,0.9863013698630136,0.9401735895846248,1.0490630462176334,2.205491065979004,1.761244773864746,1.5593143701553345,0.0052847497854482,26,[14]
56,Pdss2,0.9863013698630136,0.9299442033477991,1.0606027397260274,2.115065336227417,1.6007871627807615,1.6724308729171753,5.71860584880766e-06,26,[14]
0,Mt1,0.9863013698630136,0.6673899566026038,1.4778486851732848,2.301642179489136,0.8423239588737488,4.303024291992188,4.084072948103592e-56,26,[14]
57,Rpl12,0.9850560398505604,0.916615003099814,1.0746671574426472,2.218377590179444,1.6581238508224487,1.7511168718338013,6.516896175974247e-06,26,[14]
158,Pabpc1,0.9850560398505604,0.9181649101053936,1.0728530670350804,2.042018413543701,1.6231518983840942,1.5202373266220093,0.0311000566672763,26,[14]
69,Rps4x,0.9850560398505604,0.916615003099814,1.0746671574426472,2.2185304164886475,1.688044786453247,1.6997575759887695,0.0001173366810886,26,[14]
52,Rpl17,0.9850560398505604,0.8918164910105394,1.1045501510455016,2.2645187377929688,1.6429795026779177,1.8617913722991943,1.7459803286298134e-06,26,[14]
60,Cmss1,0.9838107098381071,0.9572225666460012,1.027776343891753,2.193573474884033,1.730773687362671,1.5885151624679563,1.5250449464613196e-05,26,[14]
85,Rps24,0.9838107098381071,0.9190948543087416,1.0704125969435865,2.1342430114746094,1.6210339069366455,1.67064368724823,0.0008829916900753,26,[14]
65,Rpl37,0.9825653798256538,0.9159950402975822,1.0726754366556883,2.3043758869171143,1.7398475408554075,1.7586181163787842,3.794558604090016e-05,26,[14]
167,Rps7,0.9800747198007472,0.9035957842529448,1.0846384377623364,2.086334228515625,1.6391133069992063,1.563959717750549,0.0462214031266444,26,[14]
40,Gm2000,0.9800747198007472,0.902975821450713,1.0853831260134603,2.168717861175537,1.5836842060089111,1.795051336288452,1.1085954313919853e-07,26,[14]
